1,depuis saint-raphael je veux aller a aix-en-provence
2,aller de saint-nazaire vers pris
3,je veux aller a Nice en partant de Saint Etienne
4,je voudrais aller de clermont-ferrand a saint-denis
5,aller de bordeaux vers saint-nazaire
6,billet port-boulet saint-jean-de-luz
7,depuis Lyon je veux aller a Saint Etienne
8,depuis dijon je veux aller a saint etienne
9,je voudrais aller de caen a saint-malo
10,billet Saint Malo Montaigu
11,je pars de rennes pour saint-jean-de-luz
12,billet reims saint-denis
13,aller de Versailles vers La Rochelle
14,besoin d un trajet saint-denis tours
15,je voudrais aller de saint jean de luz a lyon
16,je voudrais aller de saint-raphael a port-boulet
17,je souhaite me rendre a valence depuis port boulet
18,y a t il un train de le mans a cherbougr en passant par Valence
19,je veux aller a versailles en partant de limoges en passant par Saint-Malo
20,aller de saint-nazajre vers versailles en passant par Le Mans
21,je souhaite me rendre a poitiers depuis toulon en passant par Saint-Jean-de-Luz
22,je souhaite me rendre a saint-nazaire depuis montpellier en passant par Aix-en-Provence
23,depuis aix-en-provence je veux aller a lyon en passant par Perpginan
24,depuis limoges je veux aller a rouen en passant par Port-Boulet
25,depart Orleans destination Paris en passant par Rouen
26,trains saint-malo angers en passant par Bayonne
27,y a t il un train de saint denis a bordeaux en passant par Amiens
28,est ce quil y a des trains vers paris depuis versailles en passant par Angers
29,billet metz caen en passant par Saint-Malo
30,est ce quil y a des trains vers perpignan depuis lyon en passant par Tours
31,aller de Saint-Nazaire vers Saint-Malo en passant par Aix-en-Provence
32,je veux un billet de Nancy pour Montaigu en passant par Versailles
33,depuis brest je veux aller a marseille en passant par Perpignan
34,depart versailles destination dijon en passant par Bayonne
35,depart cannes destination rouen
36,depart bayonne destination le havre
37,depart reims destination nantes
38,depart strasbourg destination poitiers
39,depart le havre destination versailles
40,depart Tours destination Bayonne
41,depart tours destination avignon
42,depart reims destination avignon
43,depart Strasbourg destination Saint-Nazaire
44,depart Annecy destination Le Mans
45,depart dijok destination versailles
46,depart caen destination avignon
47,depart bayonne destination saint-malo
48,depart brest destination montpellier
49,depart aix en provence destination montaigu
50,depart angers destination limoges
51,depart Troyes destination Angers
52,comment aller a Strasbourg depuis Port-Boulet
53,comment aller a Caen depuis Rouen
54,comment aller a Tours depuis trasbourg
55,comment aller a paris depuis montpellier
56,comment aller a clermont-ferrand depuis angers
57,comment aller a montpellier depuis metz
58,comment aller a vannes depuis nice
59,comment aller a Saint-Etienne depuis Rouen
60,comment aller a Valence depuis Paris
61,comment aller a lille depuis cannes
62,comment aller a bayonne depuis caen
63,comment aller a Le Mans depuis Aix-en-Provence
64,comment aller a cannes depuis saint-malo
65,comment aller a Troyes depuis Albert
66,comment aller a Limoges depuis Saint-Etienne
67,comment aller a le havre depuis nancy
68,comment aller a aix-en-provence depuis cannes
69,est ce quil y a des trains vers aix-en-provence depuis orleans
70,y a t il un train de Saint-Denis a Nancy
71,trains Metz Saint Denis
72,trains Paris Brest
73,trains saint-raphael versailles
74,y a t il un train de Vannes a Rennes
75,est ce quil y a des trains vers marseille depuis nice
76,train en retard
77,est ce quil y a des trains vers saint etienne depuis srtasbourg
78,est ce quil y a des trains vers metz depuis valence
79,y a t il un train de le mans a colmar
80,est ce quil y a des trains vers saint etienne depuis angers
81,trains Touloa jvignon
82,trains qoulon Montpellier
83,y a t il un train de amiens a aix-en-provence
84,y a t il un train de albert a nice
85,trains strasbourg angers
86,je veux aller a le mans en partant de le havre
87,je veux aller a clermont-ferrand en partant de le mans
88,je veux un billet de le mans pour le havre
89,je veux aller a brest en partant de aix en provence
90,je souhaite me rendre a sain raphael depuis aix en provnece
91,je veux aller a le havre en partant de rouen
92,je veux aller a sant malo en partant de perignan
93,je veux un billet de aix en provence pour saitn denis
94,je veux aller a le havre en partant de tours
95,je veux aller a orleans en partant de aix en provence
96,je veux aller a le mans en partant de nice
97,je veux aller a nancy en partant de le mans
98,je souhaite me rendre a aix en provence depuis le havre
99,je veux aller a Toulon en partant de Le Mans
100,je veux aller a orleans en partant de le havre
101,je veux aller a aix en provence en partant de lille
102,je veux aller a Valence en partant de Le Mans
103,horaires pour demain
104,je pars de dijon pour troyes
105,je souhaite me rendre a orleans depuis lyon
106,billet Grenoble Toulon
107,aller de toulon vers nantes
108,depuis Nancy je veux aller a Clermont-Ferran
109,besoin d un trajet lille marseille
110,depuis biarritz je veux aller a tours
111,aller de rennes vers grenoble
112,aller de montpellier vers paris
113,aller de reims vers strasbourd
114,depuis Troyes je veux aller a Toulouse
115,depuis montpellier je veux aller a paris
116,billet orleans nancy
117,je voudrais aller de annecy a troyes
118,horaires pour demain
119,horaires pour demain
120,une phrase sans trajet
